a_id,balance
HF5WLCHvn9Xo3StyykaKZE1coPVYTM3hUJ,0
HKFgkf6feJgr4mkCGtfkAkpNYP6jut68dX,0
HLCSyV7MThjvnoBmszjioM8Z6x7JSv1SH2,0
HHCz8af8g7q7MVYeZ2m8kwppDC3ZVDv8S2,0
HDzuDt93a5NADQYGP6htVR9QZSiPv9UEfQ,0
H7fT1TzxW4ecuacRFq57CfLVWZcJt3c51u,0
H6ZdzC1ajaHTBqdtvS1cxxd5ZqGsAnt5ri,0
H6dWgvDBy4HBnZefhhEnZFY58Y6erRckJK,0
H6euZWwRGDbNCti5ePkHePunx2Fi4kff1c,776869928
H6fR2qq9coEhJfqfMZfMqmsNT3ZymqBvwk,0
H6g5fwBsy4tVP61rj1VV3HbKVpLVP9c9VP,138058799
H6gcwMZuVVyMHkC2AR8ky1oq5wFanTGUer,2.3672767015e+10
H6hWFpSGDs4xz88xsTcDdyAvGa6hjgYdEZ,103161424
H6jGqs3p6jyJTmg1MqeNEE4Jx868XPAHP9,2.53446284e+09
H6jqUCMWEF85wrBAydVYuGxMARGCsDdFRy,0
H6kyheBo1nzvRsQsLM4ToCLdvVjBVhjWog,0
H6m4gcRk7rHpQkMsasbpUQAKkWygJRSAfY,952803737
HFdQcFd9UAbMcE59pvq1KqegELGRQG6dyR,0
H6nGPYqQNssiYdbexe2WCSDvzZL18hpyEh,550571337
H6neg2ufrGskswWNANFdqt6iFFoV8NUNT2,103848794
H6oPvgXdyDLM6RuKky2qrj6btGCkqiLo4P,0
H6px7Rk7mseHxFNF6qvTsrNVXtgGp9pRFC,1.8960096577e+10
H6qToWu5ToM2VfTKbU6WGteKqbuJ4pKzH5,1.8751260834e+10
H6v8Y8d5kyuF9KwQAu2Xdtx7ZgDrkQQvND,1051148246
H6w42CdPP1uitXgD7dd8u2GBLcFhJwL6mu,1.2e+10
H6x6XSWYVTZyb5DJaahPeZGexnk9VuBGGq,137478735
H6yenv85a5YJwJwfbTASvznVebpjgRDiUZ,0
H6yxeh3xgsNNsLpnfdAKREsSxL2RfE1wqv,1.0083522816e+10
H6zgF57CCCC5niaq4reivqNctKJstJ6Bh7,876695918
H71ZP2BcfxGnmyq33XYXqV7YoUDgcAMZfk,417878929
H72DmbHRYSDQbRhm4wA19drQR3iPF8M9Sf,0
